tier,selector,transform,family,axis,window,weekday,station_set,days,score,hit_rate,hit_lift_pp,db_day_rate,db_day_lift_pp,stable_halves
WATCH,DB#1,P2P4,pos_pair,D-1,180,6,ALL,25,62.475333333333325,0.76,35.16,0.16,13.0,2
WATCH,G2#1,P1P3,pos_pair,D-1,180,6,ALL,25,53.00866666666666,0.64,23.159999999999997,0.2,17.0,2
WATCH,G1#1,P4P1,pos_pair,D-3,180,4,ALL,25,52.76199999999999,0.6,29.519999999999996,0.12,10.08,2
WATCH,G1#1,P4P1,pos_pair,D-3,180,,Gia Lai|Ninh Thuận,25,52.76199999999999,0.6,29.519999999999996,0.12,10.08,2
WATCH,G1#1,SUM_UNIT_PAIR,sum,D-2,180,3,ALL,25,51.867333333333335,0.68,26.320000000000004,0.16,13.0,2
WATCH,G1#1,SUM_UNIT_PAIR,sum,D-2,180,,Bình Định|Quảng Bình|Quảng Trị,25,51.867333333333335,0.68,26.320000000000004,0.16,13.0,2
WATCH,G2#2,FIRST2_REV,head,D-3,180,6,ALL,24,46.71666666666667,0.6666666666666666,25.666666666666664,0.125,9.5,2
WATCH,G2#2,P2P1,adjacent_pair,D-3,180,6,ALL,24,46.71666666666667,0.6666666666666666,25.666666666666664,0.125,9.5,2
WATCH,DB#1,P2P5,pos_pair,D-3,180,1,ALL,26,43.653846153846146,0.6538461538461539,34.96153846153846,0.0,-2.0,2
WATCH,DB#1,P2P5,pos_pair,D-3,180,,Quảng Nam|Đắk Lắk,26,43.653846153846146,0.6538461538461539,34.96153846153846,0.0,-2.0,2
WATCH,DB#1,P1P4,pos_pair,D-2,180,0,ALL,25,43.266,0.52,21.68,0.12,10.0,2
WATCH,G1#1,P4P3,adjacent_pair,D-3,180,0,ALL,25,42.86600000000001,0.56,25.680000000000003,0.08,6.0,2
WATCH,G2#1,P4P3,adjacent_pair,D-1,180,3,ALL,25,42.40066666666667,0.56,14.320000000000006,0.2,17.0,2
WATCH,G2#1,P4P3,adjacent_pair,D-1,180,,Bình Định|Quảng Bình|Quảng Trị,25,42.40066666666667,0.56,14.320000000000006,0.2,17.0,2
WATCH,G1#1,SUM_UNIT_PAIR,sum,D-3,180,6,ALL,24,41.577777777777776,0.6666666666666666,25.666666666666664,0.08333333333333333,5.333333333333333,2
WATCH,G2#1,P2P3,adjacent_pair,D-3,180,2,ALL,26,40.31538461538461,0.5384615384615384,23.846153846153843,0.07692307692307693,5.6923076923076925,2
WATCH,G2#1,P2P3,adjacent_pair,D-3,180,,Khánh Hòa|Đà Nẵng,26,40.31538461538461,0.5384615384615384,23.846153846153843,0.07692307692307693,5.6923076923076925,2
C,G2#1,P4P3,adjacent_pair,D-3,30,,ALL,30,39.91794520547945,0.6333333333333333,28.566666666666663,0.03333333333333333,0.9000000000000001,2
WATCH,G2#2,P5P2,pos_pair,D-3,180,1,ALL,26,39.42307692307691,0.5769230769230769,27.269230769230763,0.038461538461538464,1.8461538461538463,2
WATCH,G2#2,P5P2,pos_pair,D-3,180,,Quảng Nam|Đắk Lắk,26,39.42307692307691,0.5769230769230769,27.269230769230763,0.038461538461538464,1.8461538461538463,2
WATCH,G2#1,HEAD_TAIL,head_tail,D-2,180,2,ALL,25,38.402,0.52,21.96,0.08,6.0,2
WATCH,G2#1,P1P5,pos_pair,D-2,180,2,ALL,25,38.402,0.52,21.96,0.08,6.0,2
WATCH,G2#1,HEAD_TAIL,head_tail,D-2,180,,Khánh Hòa|Đà Nẵng,25,38.402,0.52,21.96,0.08,6.0,2
WATCH,G2#1,P1P5,pos_pair,D-2,180,,Khánh Hòa|Đà Nẵng,25,38.402,0.52,21.96,0.08,6.0,2
WATCH,DB#1,P4P3,adjacent_pair,D-3,180,4,ALL,25,38.361999999999995,0.48,17.519999999999996,0.12,10.08,2
