tier,target_region,rule_key,source_region,source_unit,source_prize,source_index,transform,family,axis,lag,window,weekday,station_set,days,hit_rate,hit_baseline,hit_lift_pp,db_day_rate,db_day_baseline,db_day_lift_pp,half_stable,score
C,MT,MN:Cà Mau:DB#1:FIRST2,MN,Cà Mau,DB,1,FIRST2,head,D-7,7,180,,Phú Yên|Thừa Thiên Huế,12,0.8333,0.3025,53.08,0.1667,0.02,14.67,2,85.3
C,MT,MN:Cà Mau:DB#1:FIRST2,MN,Cà Mau,DB,1,FIRST2,head,D-7,7,180,,Phú Yên|Thừa Thiên Huế,12,0.8333,0.3025,53.08,0.1667,0.02,14.67,2,85.3
C,MT,MN:Bến Tre:DB#1:LAST2,MN,Bến Tre,DB,1,LAST2,tail,D-6,6,180,,Phú Yên|Thừa Thiên Huế,12,0.9167,0.3025,61.42,0.0833,0.02,6.33,2,85.3
C,MT,MN:Vĩnh Long:G2#2:FIRST2_REV,MN,Vĩnh Long,G2,2,FIRST2_REV,head,D-3,3,180,,Huế|Phú Yên,12,0.8333,0.3058,52.75,0.1667,0.02,14.67,2,84.9
C,MB,MN:TP. HCM:G1#1:P4P1,MN,TP. HCM,G1,1,P4P1,position_pair,D-5,5,180,3,ALL,12,0.75,0.2342,51.58,0.0833,0.01,7.33,2,76.17
C,MB,MN:TP. HCM:G1#1:P4P1,MN,TP. HCM,G1,1,P4P1,position_pair,D-5,5,180,,Hà Nội,12,0.75,0.2342,51.58,0.0833,0.01,7.33,2,76.17
C,MT,MN:Vĩnh Long:G2#2:FIRST2_REV,MN,Vĩnh Long,G2,2,FIRST2_REV,head,D-3,3,180,0,ALL,13,0.7692,0.3054,46.38,0.1538,0.02,13.38,2,75.82
C,MT,MN:Kiên Giang:G1#1:FIRST2,MN,Kiên Giang,G1,1,FIRST2,head,D-1,1,180,,Phú Yên|Thừa Thiên Huế,12,0.75,0.3025,44.75,0.1667,0.02,14.67,2,75.3
C,MT,MN:Cà Mau:G2#2:LAST2_REV,MN,Cà Mau,G2,2,LAST2_REV,tail,D-6,6,180,6,ALL,12,0.75,0.4125,33.75,0.25,0.03,22.0,2,69.43
C,MT,MN:Cà Mau:G2#2:P4P3,MN,Cà Mau,G2,2,P4P3,adjacent_pair,D-6,6,180,6,ALL,12,0.75,0.4125,33.75,0.25,0.03,22.0,2,69.43
