target_region,source_region,source_unit,source_prize,source_index,transform,axis,lag,window,days,h1_hits,h1_rate,h1_baseline,h1_lift_pp,h1_raw_p,h2_hits,h2_rate,h2_baseline,h2_lift_pp,h2_raw_p,score
MT,MT,Huế,DB,1,P4P1,D-4,4,180,31,20,0.6451612903225806,0.3696774193548387,27.548387096774192,0.0013882625130919603,3,0.0967741935483871,0.024838709677419368,7.193548387096772,0.022941462705311656,36.180645161290315
MN,MB,MB_BOARD,G2,2,FIRST2_REV,W-2,14,60,60,37,0.6166666666666667,0.4333333333333334,18.33333333333333,0.003114155785199903,7,0.11666666666666667,0.03150000000000002,8.516666666666664,0.00032795209758698836,29.553333333333327
MN,MB,MB_BOARD,G2,2,P2P1,W-2,14,60,60,37,0.6166666666666667,0.4333333333333334,18.33333333333333,0.003114155785199903,7,0.11666666666666667,0.03150000000000002,8.516666666666664,0.00032795209758698836,29.553333333333327
MT,MT,Đà Nẵng,G2,1,LAST2_REV,W-1,7,180,52,29,0.5576923076923077,0.36000000000000004,19.769230769230766,0.002360314012275161,5,0.09615384615384616,0.02500000000000002,7.115384615384614,0.0022391866775864884,28.307692307692303
MT,MT,Đà Nẵng,G2,1,P5P4,W-1,7,180,52,29,0.5576923076923077,0.36000000000000004,19.769230769230766,0.002360314012275161,5,0.09615384615384616,0.02500000000000002,7.115384615384614,0.0022391866775864884,28.307692307692303
MN,MB,MB_BOARD,G2,2,FIRST2_REV,W-2,14,90,86,53,0.6162790697674418,0.43302325581395346,18.325581395348838,0.00044849981706561015,9,0.10465116279069768,0.031511627906976716,7.313953488372096,0.00017582778080532535,28.102325581395355
MN,MB,MB_BOARD,G2,2,P2P1,W-2,14,90,86,53,0.6162790697674418,0.43302325581395346,18.325581395348838,0.00044849981706561015,9,0.10465116279069768,0.031511627906976716,7.313953488372096,0.00017582778080532535,28.102325581395355
MT,MT,Huế,G1,1,LAST2_REV,D-3,3,180,31,18,0.5806451612903226,0.34967741935483865,23.0967741935484,0.0060641252328076925,2,0.06451612903225806,0.02451612903225808,3.9999999999999982,0.19504927877823472,27.896774193548396
MT,MT,Huế,G1,1,P5P4,D-3,3,180,31,18,0.5806451612903226,0.34967741935483865,23.0967741935484,0.0060641252328076925,2,0.06451612903225806,0.02451612903225808,3.9999999999999982,0.19504927877823472,27.896774193548396
MN,MT,Đà Nẵng,G2,1,TAIL_HEAD,D-4,4,180,52,33,0.6346153846153846,0.4196153846153846,21.499999999999996,0.0013448641711020723,4,0.07692307692307693,0.029423076923076944,4.749999999999998,0.05298113772929693,27.199999999999996
MT,MT,Huế,DB,1,P2P3,D-6,6,180,31,20,0.6451612903225806,0.41645161290322585,22.870967741935477,0.008176193825868703,2,0.06451612903225806,0.03000000000000002,3.4516129032258043,0.27420879791280395,27.01290322580644
MT,MT,Huế,G5,1,SECOND_HEAD_TAIL,D-4,4,180,31,17,0.5483870967741935,0.3696774193548387,17.870967741935477,0.030379875578719392,3,0.0967741935483871,0.024838709677419368,7.193548387096772,0.022941462705311656,26.503225806451603
MT,MT,Huế,G5,1,P2P4,D-4,4,180,31,17,0.5483870967741935,0.3696774193548387,17.870967741935477,0.030379875578719392,3,0.0967741935483871,0.024838709677419368,7.193548387096772,0.022941462705311656,26.503225806451603
MT,MT,Đà Nẵng,G1,1,P3P4,D-2,2,180,51,23,0.45098039215686275,0.30411764705882355,14.686274509803921,0.01668241087655217,6,0.11764705882352941,0.019607843137254912,9.80392156862745,2.7496693085231286e-06,26.45098039215686
MN,MT,Đà Nẵng,G1,1,SECOND_HEAD_TAIL,D-2,2,180,51,27,0.5294117647058824,0.42274509803921567,10.666666666666668,0.08071287621924014,8,0.1568627450980392,0.030000000000000023,12.68627450980392,4.779006385421795e-07,25.89019607843137
MN,MT,Đà Nẵng,G1,1,P2P5,D-2,2,180,51,27,0.5294117647058824,0.42274509803921567,10.666666666666668,0.08071287621924014,8,0.1568627450980392,0.030000000000000023,12.68627450980392,4.779006385421795e-07,25.89019607843137
MT,MT,Huế,G1,1,SECOND_HEAD_TAIL,D-4,4,180,31,18,0.5806451612903226,0.3696774193548387,21.09677419354839,0.012310075966759941,2,0.06451612903225806,0.024838709677419368,3.967741935483869,0.19977069742098968,25.858064516129033
MT,MT,Huế,G1,1,P2P5,D-4,4,180,31,18,0.5806451612903226,0.3696774193548387,21.09677419354839,0.012310075966759941,2,0.06451612903225806,0.024838709677419368,3.967741935483869,0.19977069742098968,25.858064516129033
