rule_lineage,target_region,source_axis,historical_window,scope,sample_days,hit_rate,baseline_rate,lift_pp,db_day_lift_pp,half_stable,tier_v10606,score,status,live_eligible,source_report,v107_risk
MT:Đắk Nông:G2#1:TAIL_HEAD,MB,D-4,180,GLOBAL,25,0.6,0.2388,36.12,3.0,2,WATCH,43.52,PRE_REGISTER_ONLY,False,V10606,BH_FAIL_GLOBAL|SELECTION_BIAS_RISK|PRE_REGISTER_ONLY|FORWARD_90D_INSUFFICIENT
MT:Bình Định:G1#1:HEAD_TAIL,MB,W-3,180,GLOBAL,25,0.52,0.234,28.6,11.04,2,WATCH,42.43,PRE_REGISTER_ONLY,False,V10606,BH_FAIL_GLOBAL|SELECTION_BIAS_RISK|PRE_REGISTER_ONLY|FORWARD_90D_INSUFFICIENT
MT:Khánh Hòa:G2#1:P3P2,MB,W-3,90,GLOBAL,25,0.56,0.2396,32.04,7.0,2,WATCH,41.64,PRE_REGISTER_ONLY,False,V10606,BH_FAIL_GLOBAL|SELECTION_BIAS_RISK|PRE_REGISTER_ONLY|FORWARD_90D_INSUFFICIENT
MT:Khánh Hòa:G2#2:HEAD_TAIL,MB,D-2,180,GLOBAL,29,0.5517,0.2414,31.03,5.9,2,WATCH,40.75,PRE_REGISTER_ONLY,False,V10606,BH_FAIL_GLOBAL|SELECTION_BIAS_RISK|PRE_REGISTER_ONLY|FORWARD_90D_INSUFFICIENT
MN:Cần Thơ:G1#1:HEAD_TAIL,MB,W-2,180,GLOBAL,25,0.52,0.2388,28.12,7.0,2,WATCH,38.72,PRE_REGISTER_ONLY,False,V10606,BH_FAIL_GLOBAL|SELECTION_BIAS_RISK|PRE_REGISTER_ONLY|FORWARD_90D_INSUFFICIENT
MN:Tây Ninh:G1#1:P3P2,MB,D-1,180,GLOBAL,26,0.5385,0.2427,29.58,2.85,2,WATCH,36.86,PRE_REGISTER_ONLY,False,V10606,BH_FAIL_GLOBAL|SELECTION_BIAS_RISK|PRE_REGISTER_ONLY|FORWARD_90D_INSUFFICIENT
MN:TP. HCM:G1#1:P4P1,MB,D-5,180,WD=3,12,0.75,0.2342,51.58,7.33,2,C,62.44,PRE_REGISTER_ONLY,False,V10606,BH_FAIL_GLOBAL|SELECTION_BIAS_RISK|PRE_REGISTER_ONLY|FORWARD_90D_INSUFFICIENT
MN:TP. HCM:G1#1:P4P1,MB,D-5,180,STATION=Hà Nội,12,0.75,0.2342,51.58,7.33,2,C,62.44,PRE_REGISTER_ONLY,False,V10606,BH_FAIL_GLOBAL|SELECTION_BIAS_RISK|PRE_REGISTER_ONLY|FORWARD_90D_INSUFFICIENT
MN:TP. HCM:G1#1:P4P1,MB,D-5,180,WD=3,12,0.0,0.0,51.58,7.33,0,C,58.44,PRE_REGISTER_ONLY,False,V107_PANEL,BH_FAIL_GLOBAL|SELECTION_BIAS_RISK|PRE_REGISTER_ONLY|REPLICATION_FAIL_RISK|FORWARD_90D_INSUFFICIENT
MN:TP. HCM:G1#1:P4P1,MB,D-5,180,STATION=Hà Nội,12,0.0,0.0,51.58,7.33,0,C,58.44,PRE_REGISTER_ONLY,False,V107_PANEL,BH_FAIL_GLOBAL|SELECTION_BIAS_RISK|PRE_REGISTER_ONLY|REPLICATION_FAIL_RISK|FORWARD_90D_INSUFFICIENT
MN:TP. HCM:G2#2:TAIL_HEAD,MB,W-4,180,WD=5,17,0.5882,0.24,34.82,10.76,2,C,48.43,PRE_REGISTER_ONLY,False,V10606,BH_FAIL_GLOBAL|SELECTION_BIAS_RISK|PRE_REGISTER_ONLY|FORWARD_90D_INSUFFICIENT
MN:TP. HCM:G2#2:TAIL_HEAD,MB,W-4,180,STATION=Nam Định,17,0.5882,0.24,34.82,10.76,2,C,48.43,PRE_REGISTER_ONLY,False,V10606,BH_FAIL_GLOBAL|SELECTION_BIAS_RISK|PRE_REGISTER_ONLY|FORWARD_90D_INSUFFICIENT
MN:TP. HCM:G2#2:P4P1,MB,W-4,180,WD=5,17,0.5882,0.24,34.82,10.76,2,C,48.43,PRE_REGISTER_ONLY,False,V10606,BH_FAIL_GLOBAL|SELECTION_BIAS_RISK|PRE_REGISTER_ONLY|FORWARD_90D_INSUFFICIENT
MN:TP. HCM:G2#2:P4P1,MB,W-4,180,STATION=Nam Định,17,0.5882,0.24,34.82,10.76,2,C,48.43,PRE_REGISTER_ONLY,False,V10606,BH_FAIL_GLOBAL|SELECTION_BIAS_RISK|PRE_REGISTER_ONLY|FORWARD_90D_INSUFFICIENT
MN:Bình Dương:G2#2:LAST2_REV,MB,D-5,180,WD=2,13,0.6154,0.2362,37.92,6.69,2,C,48.27,PRE_REGISTER_ONLY,False,V10606,BH_FAIL_GLOBAL|SELECTION_BIAS_RISK|PRE_REGISTER_ONLY|FORWARD_90D_INSUFFICIENT
