rule_lineage,target_region,source_axis,historical_window,scope,sample_days,hit_rate,baseline_rate,lift_pp,db_day_lift_pp,half_stable,tier_v10606,score,status,live_eligible,source_report,v107_risk
MT:Đắk Nông:DB#1:FIRST2_REV,MN,D-3,180,GLOBAL,26,0.7308,0.4115,31.92,8.54,2,WATCH,43.75,PRE_REGISTER_ONLY,False,V10606,BH_FAIL_GLOBAL|SELECTION_BIAS_RISK|PRE_REGISTER_ONLY|FORWARD_90D_INSUFFICIENT
MT:Bình Định:DB#1:TAIL_HEAD,MN,D-6,180,GLOBAL,26,0.7308,0.4204,31.04,8.58,2,WATCH,42.9,PRE_REGISTER_ONLY,False,V10606,BH_FAIL_GLOBAL|SELECTION_BIAS_RISK|PRE_REGISTER_ONLY|FORWARD_90D_INSUFFICIENT
MT:Khánh Hòa:DB#1:P6P5,MN,D-1,180,GLOBAL,23,0.7391,0.4148,32.43,5.7,2,WATCH,41.99,PRE_REGISTER_ONLY,False,V10606,BH_FAIL_GLOBAL|SELECTION_BIAS_RISK|PRE_REGISTER_ONLY|FORWARD_90D_INSUFFICIENT
MT:Khánh Hòa:DB#1:P6P5,MN,D-1,90,GLOBAL,21,0.7619,0.4152,34.67,1.76,2,WATCH,40.08,PRE_REGISTER_ONLY,False,V10606,BH_FAIL_GLOBAL|SELECTION_BIAS_RISK|PRE_REGISTER_ONLY|FORWARD_90D_INSUFFICIENT
MT:Khánh Hòa:G1#1:P4P3,MN,D-3,180,GLOBAL,23,0.7826,0.4778,30.48,5.13,2,WATCH,39.58,PRE_REGISTER_ONLY,False,V10606,BH_FAIL_GLOBAL|SELECTION_BIAS_RISK|PRE_REGISTER_ONLY|FORWARD_90D_INSUFFICIENT
MT:Đắk Nông:G1#1:HEAD_TAIL,MN,W-3,180,GLOBAL,26,0.7308,0.5127,21.81,15.31,2,WATCH,39.06,PRE_REGISTER_ONLY,False,V10606,BH_FAIL_GLOBAL|SELECTION_BIAS_RISK|PRE_REGISTER_ONLY|FORWARD_90D_INSUFFICIENT
MT:Ninh Thuận:G2#2:FIRST2,MN,W-4,180,WD=4,19,0.7368,0.4242,31.26,12.79,2,C,46.49,PRE_REGISTER_ONLY,False,V10606,BH_FAIL_GLOBAL|SELECTION_BIAS_RISK|PRE_REGISTER_ONLY|FORWARD_90D_INSUFFICIENT
MT:Ninh Thuận:G2#2:FIRST2,MN,W-4,180,STATION=Bình Dương|Trà Vinh|Vĩnh Long,19,0.7368,0.4242,31.26,12.79,2,C,46.49,PRE_REGISTER_ONLY,False,V10606,BH_FAIL_GLOBAL|SELECTION_BIAS_RISK|PRE_REGISTER_ONLY|FORWARD_90D_INSUFFICIENT
MT:Bình Định:G2#2:LAST2,MN,W-2,180,WD=3,16,0.75,0.4206,32.94,9.5,2,C,45.54,PRE_REGISTER_ONLY,False,V10606,BH_FAIL_GLOBAL|SELECTION_BIAS_RISK|PRE_REGISTER_ONLY|FORWARD_90D_INSUFFICIENT
MT:Bình Định:G2#2:LAST2,MN,W-2,180,STATION=An Giang|Bình Thuận|Tây Ninh,16,0.75,0.4206,32.94,9.5,2,C,45.54,PRE_REGISTER_ONLY,False,V10606,BH_FAIL_GLOBAL|SELECTION_BIAS_RISK|PRE_REGISTER_ONLY|FORWARD_90D_INSUFFICIENT
MT:Đà Nẵng:DB#1:P6P3,MN,D-1,180,WD=3,13,0.7692,0.4138,35.54,4.69,2,C,44.29,PRE_REGISTER_ONLY,False,V10606,BH_FAIL_GLOBAL|SELECTION_BIAS_RISK|PRE_REGISTER_ONLY|FORWARD_90D_INSUFFICIENT
MT:Đà Nẵng:DB#1:P6P3,MN,D-1,180,STATION=An Giang|Bình Thuận|Tây Ninh,13,0.7692,0.4138,35.54,4.69,2,C,44.29,PRE_REGISTER_ONLY,False,V10606,BH_FAIL_GLOBAL|SELECTION_BIAS_RISK|PRE_REGISTER_ONLY|FORWARD_90D_INSUFFICIENT
MT:Kon Tum:G2#2:FIRST2,MN,D-1,180,WD=0,15,0.7333,0.424,30.93,10.33,2,C,44.19,PRE_REGISTER_ONLY,False,V10606,BH_FAIL_GLOBAL|SELECTION_BIAS_RISK|PRE_REGISTER_ONLY|FORWARD_90D_INSUFFICIENT
MT:Kon Tum:G2#2:FIRST2,MN,D-1,180,STATION=Cà Mau|TP. HCM|Đồng Tháp,15,0.7333,0.424,30.93,10.33,2,C,44.19,PRE_REGISTER_ONLY,False,V10606,BH_FAIL_GLOBAL|SELECTION_BIAS_RISK|PRE_REGISTER_ONLY|FORWARD_90D_INSUFFICIENT
MT:Đà Nẵng:G2#1:P5P4,MN,D-6,180,WD=1,12,0.75,0.405,34.5,5.33,2,C,43.76,PRE_REGISTER_ONLY,False,V10606,BH_FAIL_GLOBAL|SELECTION_BIAS_RISK|PRE_REGISTER_ONLY|FORWARD_90D_INSUFFICIENT
