rule_lineage,target_region,source_axis,historical_window,scope,sample_days,hit_rate,baseline_rate,lift_pp,db_day_lift_pp,half_stable,tier_v10606,score,status,live_eligible,source_report,v107_risk
MN:Sóc Trăng:G2#1:FIRST2_REV,MT,W-2,180,GLOBAL,26,0.6538,0.3,35.38,9.54,2,WATCH,48.01,PRE_REGISTER_ONLY,False,V10606,BH_FAIL_GLOBAL|SELECTION_BIAS_RISK|PRE_REGISTER_ONLY|FORWARD_90D_INSUFFICIENT
MN:Đà Lạt:DB#1:TAIL_HEAD,MT,W-2,180,GLOBAL,25,0.68,0.4084,27.16,9.0,2,WATCH,39.36,PRE_REGISTER_ONLY,False,V10606,BH_FAIL_GLOBAL|SELECTION_BIAS_RISK|PRE_REGISTER_ONLY|FORWARD_90D_INSUFFICIENT
MN:Kiên Giang:G2#1:LAST2,MT,W-4,180,GLOBAL,25,0.64,0.4084,23.16,13.0,2,WATCH,38.56,PRE_REGISTER_ONLY,False,V10606,BH_FAIL_GLOBAL|SELECTION_BIAS_RISK|PRE_REGISTER_ONLY|FORWARD_90D_INSUFFICIENT
MN:TP. HCM:G2#2:TAIL_HEAD,MT,D-3,180,GLOBAL,26,0.6154,0.3531,26.23,9.08,2,WATCH,38.49,PRE_REGISTER_ONLY,False,V10606,BH_FAIL_GLOBAL|SELECTION_BIAS_RISK|PRE_REGISTER_ONLY|FORWARD_90D_INSUFFICIENT
MN:TP. HCM:G2#2:P4P1,MT,D-3,180,GLOBAL,26,0.6154,0.3531,26.23,9.08,2,WATCH,38.49,PRE_REGISTER_ONLY,False,V10606,BH_FAIL_GLOBAL|SELECTION_BIAS_RISK|PRE_REGISTER_ONLY|FORWARD_90D_INSUFFICIENT
MN:Vũng Tàu:G2#1:HEAD_TAIL,MT,D-2,180,GLOBAL,26,0.6154,0.4154,20.0,16.23,2,WATCH,37.98,PRE_REGISTER_ONLY,False,V10606,BH_FAIL_GLOBAL|SELECTION_BIAS_RISK|PRE_REGISTER_ONLY|FORWARD_90D_INSUFFICIENT
MN:Cà Mau:G2#1:HEAD_TAIL,MT,D-2,180,GLOBAL,26,0.5769,0.3,27.69,5.69,2,WATCH,37.24,PRE_REGISTER_ONLY,False,V10606,BH_FAIL_GLOBAL|SELECTION_BIAS_RISK|PRE_REGISTER_ONLY|FORWARD_90D_INSUFFICIENT
MN:Hậu Giang:G2#1:FIRST2_REV,MT,D-5,180,GLOBAL,26,0.5769,0.4154,16.15,20.08,2,WATCH,37.21,PRE_REGISTER_ONLY,False,V10606,BH_FAIL_GLOBAL|SELECTION_BIAS_RISK|PRE_REGISTER_ONLY|FORWARD_90D_INSUFFICIENT
MN:Bến Tre:DB#1:LAST2,MT,D-6,180,STATION=Phú Yên|Thừa Thiên Huế,12,0.9167,0.3025,61.42,6.33,2,C,71.48,PRE_REGISTER_ONLY,False,V10606,BH_FAIL_GLOBAL|SELECTION_BIAS_RISK|PRE_REGISTER_ONLY|FORWARD_90D_INSUFFICIENT
MN:Cà Mau:DB#1:FIRST2,MT,W-1,180,STATION=Phú Yên|Thừa Thiên Huế,12,0.8333,0.3025,53.08,14.67,2,C,69.82,PRE_REGISTER_ONLY,False,V10606,BH_FAIL_GLOBAL|SELECTION_BIAS_RISK|PRE_REGISTER_ONLY|FORWARD_90D_INSUFFICIENT
MN:Cà Mau:DB#1:FIRST2,MT,W-1,180,STATION=Phú Yên|Thừa Thiên Huế,12,0.8333,0.3025,53.08,14.67,2,C,69.82,PRE_REGISTER_ONLY,False,V10606,BH_FAIL_GLOBAL|SELECTION_BIAS_RISK|PRE_REGISTER_ONLY|FORWARD_90D_INSUFFICIENT
MN:Vĩnh Long:G2#2:FIRST2_REV,MT,D-3,180,STATION=Huế|Phú Yên,12,0.8333,0.3058,52.75,14.67,2,C,69.49,PRE_REGISTER_ONLY,False,V10606,BH_FAIL_GLOBAL|SELECTION_BIAS_RISK|PRE_REGISTER_ONLY|FORWARD_90D_INSUFFICIENT
MN:Bến Tre:DB#1:LAST2,MT,D-6,180,STATION=Phú Yên|Thừa Thiên Huế,12,0.0,0.0,61.42,6.33,0,C,67.48,PRE_REGISTER_ONLY,False,V107_PANEL,BH_FAIL_GLOBAL|SELECTION_BIAS_RISK|PRE_REGISTER_ONLY|REPLICATION_FAIL_RISK|FORWARD_90D_INSUFFICIENT
MN:Cà Mau:DB#1:FIRST2,MT,W-1,180,STATION=Phú Yên|Thừa Thiên Huế,12,0.0,0.0,53.08,14.67,0,C,65.82,PRE_REGISTER_ONLY,False,V107_PANEL,BH_FAIL_GLOBAL|SELECTION_BIAS_RISK|PRE_REGISTER_ONLY|REPLICATION_FAIL_RISK|FORWARD_90D_INSUFFICIENT
MN:Vĩnh Long:G2#2:FIRST2_REV,MT,D-3,180,STATION=Huế|Phú Yên,12,0.0,0.0,52.75,14.67,0,C,65.49,PRE_REGISTER_ONLY,False,V107_PANEL,BH_FAIL_GLOBAL|SELECTION_BIAS_RISK|PRE_REGISTER_ONLY|REPLICATION_FAIL_RISK|FORWARD_90D_INSUFFICIENT
MN:Vĩnh Long:G2#2:FIRST2_REV,MT,D-3,180,WD=0,13,0.7692,0.3054,46.38,13.38,2,C,62.08,PRE_REGISTER_ONLY,False,V10606,BH_FAIL_GLOBAL|SELECTION_BIAS_RISK|PRE_REGISTER_ONLY|FORWARD_90D_INSUFFICIENT
