region,target_region,lane_id,isolation_tag,source_family,source_region,source_station,source_prize,source_lag,source_date,transform,rule_id,rule_lineage,rule_status,live_eligible,candidate_tail,current_day_source_available,source_pool_present,rank,top5,top10,votes,support_sources,would_save,would_break,false_promo,net,action,owner_gate,forbidden_action,isolation_status,lane_name,hit_count,false_promotion,net_effect,conversion_action,signal_present,output_committed
MT,MT,MT_RISO_019,MT_ONLY_STACK,V10626_BASELINE,MN,Sóc Trăng,G2,D-1,2026-05-25,FIRST2_REV,19,MN:Sóc Trăng:G2#1:FIRST2_REV,PRE_REGISTER_ONLY,False,,False,False,,False,False,0,{},False,False,False,0,REJECT_NO_CURRENT_SUPPORT,OWNER_REQUIRED_FOR_ANY_PROMOTION,PRODUCTION_HARD_BLOCK|OFFICIAL_COMMIT|SELECTOR_SWITCH|PROMOTE,PASS,MT_LANE_A_CONVERSION_GATE,0,False,0,REJECT_NO_CURRENT_SUPPORT,False,False
MT,MT,MT_RISO_020,MT_ONLY_STACK,V10626_BASELINE,MN,Đà Lạt,DB,D-1,2026-05-25,TAIL_HEAD,20,MN:Đà Lạt:DB#1:TAIL_HEAD,PRE_REGISTER_ONLY,False,,False,False,,False,False,0,{},False,False,False,0,REJECT_NO_CURRENT_SUPPORT,OWNER_REQUIRED_FOR_ANY_PROMOTION,PRODUCTION_HARD_BLOCK|OFFICIAL_COMMIT|SELECTOR_SWITCH|PROMOTE,PASS,MT_LANE_A_CONVERSION_GATE,0,False,0,REJECT_NO_CURRENT_SUPPORT,False,False
MT,MT,MT_RISO_021,MT_ONLY_STACK,V10626_BASELINE,MN,Kiên Giang,G2,D-1,2026-05-25,LAST2,21,MN:Kiên Giang:G2#1:LAST2,PRE_REGISTER_ONLY,False,,False,False,,False,False,0,{},False,False,False,0,REJECT_NO_CURRENT_SUPPORT,OWNER_REQUIRED_FOR_ANY_PROMOTION,PRODUCTION_HARD_BLOCK|OFFICIAL_COMMIT|SELECTOR_SWITCH|PROMOTE,PASS,MT_LANE_A_CONVERSION_GATE,0,False,0,REJECT_NO_CURRENT_SUPPORT,False,False
MT,MT,MT_RISO_022,MT_ONLY_STACK,V10626_BASELINE,MN,TP. HCM,G2,D-1,2026-05-25,TAIL_HEAD,22,MN:TP. HCM:G2#2:TAIL_HEAD,PRE_REGISTER_ONLY,False,,False,False,,False,False,0,{},False,False,False,0,REJECT_NO_CURRENT_SUPPORT,OWNER_REQUIRED_FOR_ANY_PROMOTION,PRODUCTION_HARD_BLOCK|OFFICIAL_COMMIT|SELECTOR_SWITCH|PROMOTE,PASS,MT_LANE_A_CONVERSION_GATE,0,False,0,REJECT_NO_CURRENT_SUPPORT,False,False
MT,MT,MT_RISO_023,MT_ONLY_STACK,V10626_BASELINE,MN,TP. HCM,G2,D-1,2026-05-25,P4P1,23,MN:TP. HCM:G2#2:P4P1,PRE_REGISTER_ONLY,False,,False,False,,False,False,0,{},False,False,False,0,REJECT_NO_CURRENT_SUPPORT,OWNER_REQUIRED_FOR_ANY_PROMOTION,PRODUCTION_HARD_BLOCK|OFFICIAL_COMMIT|SELECTOR_SWITCH|PROMOTE,PASS,MT_LANE_A_CONVERSION_GATE,0,False,0,REJECT_NO_CURRENT_SUPPORT,False,False
MT,MT,MT_RISO_024,MT_ONLY_STACK,V10626_BASELINE,MN,Vũng Tàu,G2,D-1,2026-05-25,HEAD_TAIL,24,MN:Vũng Tàu:G2#1:HEAD_TAIL,PRE_REGISTER_ONLY,False,,False,False,,False,False,0,{},False,False,False,0,REJECT_NO_CURRENT_SUPPORT,OWNER_REQUIRED_FOR_ANY_PROMOTION,PRODUCTION_HARD_BLOCK|OFFICIAL_COMMIT|SELECTOR_SWITCH|PROMOTE,PASS,MT_LANE_A_CONVERSION_GATE,0,False,0,REJECT_NO_CURRENT_SUPPORT,False,False
MT,MT,MT_RISO_025,MT_ONLY_STACK,V10626_BASELINE,MN,Cà Mau,G2,D-1,2026-05-25,HEAD_TAIL,25,MN:Cà Mau:G2#1:HEAD_TAIL,PRE_REGISTER_ONLY,False,,False,False,,False,False,0,{},False,False,False,0,REJECT_NO_CURRENT_SUPPORT,OWNER_REQUIRED_FOR_ANY_PROMOTION,PRODUCTION_HARD_BLOCK|OFFICIAL_COMMIT|SELECTOR_SWITCH|PROMOTE,PASS,MT_LANE_A_CONVERSION_GATE,0,False,0,REJECT_NO_CURRENT_SUPPORT,False,False
MT,MT,MT_RISO_026,MT_ONLY_STACK,V10626_BASELINE,MN,Hậu Giang,G2,D-1,2026-05-25,FIRST2_REV,26,MN:Hậu Giang:G2#1:FIRST2_REV,PRE_REGISTER_ONLY,False,,False,False,,False,False,0,{},False,False,False,0,REJECT_NO_CURRENT_SUPPORT,OWNER_REQUIRED_FOR_ANY_PROMOTION,PRODUCTION_HARD_BLOCK|OFFICIAL_COMMIT|SELECTOR_SWITCH|PROMOTE,PASS,MT_LANE_A_CONVERSION_GATE,0,False,0,REJECT_NO_CURRENT_SUPPORT,False,False
MT,MT,MT_RISO_027,MT_ONLY_STACK,V10626_BASELINE,MN,Bến Tre,DB,D-1,2026-05-25,LAST2,27,MN:Bến Tre:DB#1:LAST2,PRE_REGISTER_ONLY,False,,False,False,,False,False,0,{},False,False,False,0,REJECT_NO_CURRENT_SUPPORT,OWNER_REQUIRED_FOR_ANY_PROMOTION,PRODUCTION_HARD_BLOCK|OFFICIAL_COMMIT|SELECTOR_SWITCH|PROMOTE,PASS,MT_LANE_A_CONVERSION_GATE,0,False,0,REJECT_NO_CURRENT_SUPPORT,False,False
MT,MT,MT_RISO_028,MT_ONLY_STACK,V10626_BASELINE,MN,Cà Mau,DB,D-1,2026-05-25,FIRST2,28,MN:Cà Mau:DB#1:FIRST2,PRE_REGISTER_ONLY,False,,False,False,,False,False,0,{},False,False,False,0,REJECT_NO_CURRENT_SUPPORT,OWNER_REQUIRED_FOR_ANY_PROMOTION,PRODUCTION_HARD_BLOCK|OFFICIAL_COMMIT|SELECTOR_SWITCH|PROMOTE,PASS,MT_LANE_A_CONVERSION_GATE,0,False,0,REJECT_NO_CURRENT_SUPPORT,False,False
