lane_id,candidate_tail,full_spent_risk,rerun_post_mn_dominance,action
MT_RISO_019,,False,False,WATCH_ONLY
MT_RISO_020,,False,False,WATCH_ONLY
MT_RISO_021,,False,False,WATCH_ONLY
MT_RISO_022,,False,False,WATCH_ONLY
MT_RISO_023,,False,False,WATCH_ONLY
MT_RISO_024,,False,False,WATCH_ONLY
MT_RISO_025,,False,False,WATCH_ONLY
MT_RISO_026,,False,False,WATCH_ONLY
MT_RISO_027,,False,False,WATCH_ONLY
MT_RISO_028,,False,False,WATCH_ONLY
MT_RISO_029,,False,False,WATCH_ONLY
MT_RISO_030,,False,False,WATCH_ONLY
MT_RISO_031,,False,False,WATCH_ONLY
MT_RISO_032,,False,False,WATCH_ONLY
MT_RISO_033,,False,False,WATCH_ONLY
MT_RISO_034,,False,False,WATCH_ONLY
MT_RISO_035,,False,False,WATCH_ONLY
MT_RISO_036,,False,False,WATCH_ONLY
MT_RISO_037,,False,False,WATCH_ONLY
MT_RISO_038,,False,False,WATCH_ONLY
MT_RISO_039,,False,False,WATCH_ONLY
MT_RISO_040,,False,False,WATCH_ONLY
MT_RISO_041,,False,False,WATCH_ONLY
MT_RISO_042,,False,False,WATCH_ONLY
MT_RISO_043,,False,False,WATCH_ONLY
MT_RISO_044,,False,False,WATCH_ONLY
MT_RISO_070,,False,False,WATCH_ONLY
MT_RISO_071,,False,False,WATCH_ONLY
MT_RISO_072,,False,False,WATCH_ONLY
MT_RISO_073,,False,False,WATCH_ONLY
MT_RISO_074,,False,False,WATCH_ONLY
MT_RISO_075,,False,False,WATCH_ONLY
MT_RISO_076,,False,False,WATCH_ONLY
MT_RISO_077,,False,False,WATCH_ONLY
