checkpoint,command,expected_artifact,region,what_to_inspect,pass_fail_criteria,owner_alert_condition,do_not_do
PRE_MN_BUNDLE,artifact-only read/refresh scripts; no official writes,V10631_PRE_MN_BUNDLE_*.md/json/csv,MN,"official vs lane/shadow, support, net, risk flags","metrics computed, no official mutation","net negative repeated, high false promotion, deployment requested",no official mutation; no provider; no V10628R1; no deploy/cron
POST_MN_BUNDLE,artifact-only read/refresh scripts; no official writes,V10631_POST_MN_BUNDLE_*.md/json/csv,MN,"official vs lane/shadow, support, net, risk flags","metrics computed, no official mutation","net negative repeated, high false promotion, deployment requested",no official mutation; no provider; no V10628R1; no deploy/cron
POST_MN_RESULT,artifact-only read/refresh scripts; no official writes,V10631_POST_MN_RESULT_*.md/json/csv,MN,"official vs lane/shadow, support, net, risk flags","metrics computed, no official mutation","net negative repeated, high false promotion, deployment requested",no official mutation; no provider; no V10628R1; no deploy/cron
PRE_MT_BUNDLE,artifact-only read/refresh scripts; no official writes,V10631_PRE_MT_BUNDLE_*.md/json/csv,MT,"official vs lane/shadow, support, net, risk flags","metrics computed, no official mutation","net negative repeated, high false promotion, deployment requested",no official mutation; no provider; no V10628R1; no deploy/cron
POST_MT_BUNDLE,artifact-only read/refresh scripts; no official writes,V10631_POST_MT_BUNDLE_*.md/json/csv,MT,"official vs lane/shadow, support, net, risk flags","metrics computed, no official mutation","net negative repeated, high false promotion, deployment requested",no official mutation; no provider; no V10628R1; no deploy/cron
POST_MT_RESULT,artifact-only read/refresh scripts; no official writes,V10631_POST_MT_RESULT_*.md/json/csv,MT,"official vs lane/shadow, support, net, risk flags","metrics computed, no official mutation","net negative repeated, high false promotion, deployment requested",no official mutation; no provider; no V10628R1; no deploy/cron
PRE_MB_BUNDLE,artifact-only read/refresh scripts; no official writes,V10631_PRE_MB_BUNDLE_*.md/json/csv,MB,"official vs lane/shadow, support, net, risk flags","metrics computed, no official mutation","net negative repeated, high false promotion, deployment requested",no official mutation; no provider; no V10628R1; no deploy/cron
POST_MB_BUNDLE,artifact-only read/refresh scripts; no official writes,V10631_POST_MB_BUNDLE_*.md/json/csv,MB,"official vs lane/shadow, support, net, risk flags","metrics computed, no official mutation","net negative repeated, high false promotion, deployment requested",no official mutation; no provider; no V10628R1; no deploy/cron
POST_MB_RESULT,artifact-only read/refresh scripts; no official writes,V10631_POST_MB_RESULT_*.md/json/csv,MB,"official vs lane/shadow, support, net, risk flags","metrics computed, no official mutation","net negative repeated, high false promotion, deployment requested",no official mutation; no provider; no V10628R1; no deploy/cron
EOD_CLOSEOUT,artifact-only read/refresh scripts; no official writes,V10631_EOD_CLOSEOUT_*.md/json/csv,ALL,"official vs lane/shadow, support, net, risk flags","metrics computed, no official mutation","net negative repeated, high false promotion, deployment requested",no official mutation; no provider; no V10628R1; no deploy/cron
