"name","type","bytes","GB","MB","category"
"artifacts","DIR","259778892578","241.938","247744.5","B_runtime"
"backups","DIR","10382196367","9.669","9901.2","C_backups"
"data","DIR","1844820875","1.718","1759.4","B_runtime"
"docs","DIR","492674431","0.459","469.9","A_source_or_docs"
"Backup Final 23042026 DDXS","DIR","243247906","0.227","232","C_backups"
".git","DIR","135259734","0.126","129","A_git_objects"
"web","DIR","87461399","0.081","83.4","A_source_or_docs"
"Minimal_JavaScript_v7.5.0","DIR","41314889","0.038","39.4","OTHER"
"sandbox","DIR","26275135","0.024","25.1","A_source_or_docs"
"share_exports","DIR","7725898","0.007","7.4","D_reports"
"share_exports.rar","FILE","7724755","0.007","7.4","OTHER"
"reports","DIR","4289822","0.004","4.1","D_reports"
"archive","DIR","2369388","0.002","2.3","D_reports"
"CHANGELOG.md","FILE","2047983","0.002","2","A_source_or_docs"
"scripts","DIR","341132","0","0.3","A_source_or_docs"
"_archive_temp_scripts","DIR","340347","0","0.3","OTHER"
"__pycache__","DIR","181240","0","0.2","OTHER"
".Antigravityrules.md","FILE","105745","0","0.1","A_source_or_docs"
"Lottery_AI_Notion_Reports","DIR","82621","0","0.1","D_reports"
"tools","DIR","79356","0","0.1","A_source_or_docs"
".AGENT.md","FILE","31814","0","0","A_source_or_docs"
"_patches","DIR","26596","0","0","OTHER"
".cursor","DIR","24803","0","0","A_source_or_docs"
".cursorrules","FILE","22872","0","0","A_source_or_docs"
"CLAUDE.md","FILE","15814","0","0","A_source_or_docs"
"AGENTS.md","FILE","15723","0","0","A_source_or_docs"
"accuracy_improvement","DIR","14829","0","0","A_source_or_docs"
"_mn_cap_causal.py","FILE","5589","0","0","OTHER"
"deploy","DIR","5299","0","0","A_source_or_docs"
"_shadow_cost_audit.py","FILE","3934","0","0","OTHER"
"_mn_cap_pnl_rank.py","FILE","3536","0","0","OTHER"
"_wk_deep.py","FILE","3221","0","0","OTHER"
"_wk_final.py","FILE","3077","0","0","OTHER"
"_wk_metric_check.py","FILE","3051","0","0","OTHER"
".gitignore","FILE","2565","0","0","A_source_or_docs"
"_deepseek_family.py","FILE","2338","0","0","OTHER"
"_phasea_db_check.py","FILE","2236","0","0","OTHER"
".antigravityrules","FILE","2141","0","0","A_source_or_docs"
"_wk_fair.py","FILE","2123","0","0","OTHER"
"_wk_forward2.py","FILE","2087","0","0","OTHER"
"_wk_scorecard.py","FILE","1903","0","0","OTHER"
".vscode","DIR","1662","0","0","A_source_or_docs"
"_mn_aiplur_choi_check.py","FILE","1351","0","0","OTHER"
".env.example","FILE","1300","0","0","OTHER"
"_wk_status_vals.py","FILE","1218","0","0","OTHER"
"_wk_forward.py","FILE","1159","0","0","OTHER"
".cursorindexingignore","FILE","980","0","0","A_source_or_docs"
"_wk_schema.py","FILE","968","0","0","OTHER"
".markdownlint.jsonc","FILE","813","0","0","OTHER"
".env","FILE","773","0","0","E_secrets"
".cursorignore","FILE","546","0","0","A_source_or_docs"
".markdownlintignore","FILE","195","0","0","OTHER"
".hintrc","FILE","86","0","0","OTHER"
" (3)","DIR","0","0","0","OTHER"
" (2)","DIR","0","0","0","OTHER"
" (1)","DIR","0","0","0","OTHER"
" (6)","DIR","0","0","0","OTHER"
"tests","DIR","0","0","0","A_source_or_docs"
" (4)","DIR","0","0","0","OTHER"
" (5)","DIR","0","0","0","OTHER"
