ngay,mien,trang_thai,gio_chot,so_phieu,han,con_lai_phut
2026-07-05,MN,OK,04:17,15,15:45,688
2026-07-05,MT,THIEUPHIEU,16:38,13,16:58,20
2026-07-05,MB,THIEUPHIEU,17:33,14,17:58,25
2026-07-06,MN,OK,04:17,15,15:45,688
2026-07-06,MT,THIEUPHIEU,16:42,13,16:58,16
2026-07-06,MB,THIEUPHIEU,17:33,14,17:58,25
2026-07-07,MN,OK,04:18,15,15:45,687
2026-07-07,MT,THIEUPHIEU,16:39,13,16:58,19
2026-07-07,MB,THIEUPHIEU,17:34,14,17:58,24
2026-07-08,MN,OK,04:19,15,15:45,686
2026-07-08,MT,THIEUPHIEU,16:38,13,16:58,20
2026-07-08,MB,THIEUPHIEU,17:34,14,17:58,24
2026-07-09,MN,OK,04:17,15,15:45,688
2026-07-09,MT,THIEUPHIEU,16:40,13,16:58,18
2026-07-09,MB,THIEUPHIEU,17:33,14,17:58,25
2026-07-10,MN,OK,04:17,15,15:45,688
2026-07-10,MT,THIEUPHIEU,16:43,13,16:58,15
2026-07-10,MB,THIEUPHIEU,17:33,12,17:58,25
2026-07-11,MN,OK,04:18,15,15:45,687
2026-07-11,MT,THIEUPHIEU,16:41,13,16:58,17
2026-07-11,MB,THIEUPHIEU,17:36,12,17:58,22
2026-07-12,MN,OK,04:19,15,15:45,686
2026-07-12,MT,THIEUPHIEU,16:38,13,16:58,20
2026-07-12,MB,THIEUPHIEU,17:34,12,17:58,24
2026-07-13,MN,OK,04:18,15,15:45,687
2026-07-13,MT,THIEUPHIEU,16:43,13,16:58,15
2026-07-13,MB,THIEUPHIEU,17:33,13,17:58,25
2026-07-14,MN,OK,04:21,15,15:45,684
2026-07-14,MT,THIEUPHIEU,16:38,13,16:58,20
2026-07-14,MB,OK,17:34,15,17:58,24
2026-07-15,MN,OK,04:17,15,15:45,688
2026-07-15,MT,THIEUPHIEU,16:39,13,16:58,19
2026-07-15,MB,OK,17:34,15,17:58,24
2026-07-16,MN,OK,04:18,15,15:45,687
2026-07-16,MT,THIEUPHIEU,16:44,13,16:58,14
2026-07-16,MB,OK,17:35,15,17:58,23
2026-07-17,MN,OK,04:18,15,15:45,687
2026-07-17,MT,THIEUPHIEU,16:43,13,16:58,15
2026-07-17,MB,OK,17:35,15,17:58,23
2026-07-18,MN,OK,04:18,15,15:45,687
2026-07-18,MT,THIEUPHIEU,16:43,13,16:58,15
2026-07-18,MB,OK,17:36,15,17:58,22
2026-07-19,MN,OK,04:18,15,15:45,687
2026-07-19,MT,THIEUPHIEU,16:38,13,16:58,20
2026-07-19,MB,THIEUPHIEU,17:33,14,17:58,25
2026-07-20,MN,OK,04:18,15,15:45,687
2026-07-20,MT,THIEUPHIEU,16:41,13,16:58,17
2026-07-20,MB,THIEUPHIEU,17:33,14,17:58,25
2026-07-21,MN,OK,04:17,15,15:45,688
2026-07-21,MT,THIEUPHIEU,16:39,13,16:58,19
2026-07-21,MB,THIEUPHIEU,17:33,14,17:58,25
2026-07-22,MN,OK,04:18,15,15:45,687
2026-07-22,MT,THIEUPHIEU,16:37,13,16:58,21
2026-07-22,MB,THIEUPHIEU,17:33,14,17:58,25
2026-07-23,MN,OK,04:17,15,15:45,688
2026-07-23,MT,THIEUPHIEU,16:42,13,16:58,16
2026-07-23,MB,THIEUPHIEU,17:35,14,17:58,23
2026-07-24,MN,OK,04:17,15,15:45,688
2026-07-24,MT,THIEUPHIEU,16:43,13,16:58,15
2026-07-24,MB,THIEUPHIEU,17:33,13,17:58,25
2026-07-25,MN,OK,04:17,15,15:45,688
2026-07-25,MT,THIEUPHIEU,16:40,11,16:58,18
2026-07-25,MB,THIEUPHIEU,17:35,13,17:58,23
2026-07-26,MN,OK,04:17,15,15:45,688
2026-07-26,MT,THIEUPHIEU,16:39,13,16:58,19
2026-07-26,MB,THIEUPHIEU,17:33,14,17:58,25
2026-07-27,MN,OK,04:17,15,15:45,688
2026-07-27,MT,THIEUPHIEU,16:42,13,16:58,16
2026-07-27,MB,THIEUPHIEU,17:33,14,17:58,25
2026-07-28,MN,THIEUPHIEU,04:19,14,15:45,686
2026-07-28,MT,THIEUPHIEU,16:37,13,16:58,21
2026-07-28,MB,THIEUPHIEU,17:34,14,17:58,24
2026-07-29,MN,OK,04:18,15,15:45,687
2026-07-29,MT,THIEUPHIEU,16:41,13,16:58,17
2026-07-29,MB,THIEUPHIEU,17:34,14,17:58,24
2026-07-30,MN,OK,04:17,15,15:45,688
2026-07-30,MT,THIEUPHIEU,16:39,13,16:58,19
2026-07-30,MB,THIEUPHIEU,17:33,14,17:58,25
2026-07-31,MN,OK,04:17,15,15:45,688
2026-07-31,MT,THIEUPHIEU,16:46,13,16:58,12
2026-07-31,MB,THIEUPHIEU,17:35,13,17:58,23
2026-08-01,MN,THIEUPHIEU,05:20,13,15:45,625
2026-08-01,MT,THIEUPHIEU,16:46,13,16:58,12
2026-08-01,MB,THIEUPHIEU,17:39,14,17:58,19
2026-08-02,MN,OK,05:18,15,15:45,627
2026-08-02,MT,THIEUPHIEU,16:41,13,16:58,17
2026-08-02,MB,THIEUPHIEU,17:37,14,17:58,21
2026-08-03,MN,OK,05:20,15,15:45,625
2026-08-03,MT,THIEUPHIEU,16:47,13,16:58,11
2026-08-03,MB,THIEUPHIEU,17:44,14,17:58,14
