ngay,mien,so_dai,official_bt,nghiem_thu_bt,giong_nhau,official_trung_dai,nghiem_thu_trung_dai,ai_hon
2026-07-30,MN,3,86,86,giong,0,0,BANG
2026-07-31,MB,1,19,19,giong,0,0,BANG
2026-07-31,MN,3,09,09,giong,2,2,BANG
2026-07-31,MT,2,68,68,giong,0,0,BANG
2026-08-01,MB,1,90,90,giong,1,1,BANG
2026-08-01,MN,4,16,38,KHAC,1,0,OFFICIAL
2026-08-01,MT,3,55,55,giong,0,0,BANG
2026-08-02,MB,1,52,73,KHAC,1,0,OFFICIAL
2026-08-02,MN,3,43,39,KHAC,1,0,OFFICIAL
2026-08-02,MT,3,69,69,giong,2,2,BANG
2026-08-03,MN,3,64,64,giong,0,0,BANG
2026-08-03,MT,2,64,64,giong,0,0,BANG
2026-08-04,MB,1,71,71,giong,0,0,BANG
2026-08-04,MN,3,22,22,giong,0,0,BANG
2026-08-04,MT,2,60,29,KHAC,1,0,OFFICIAL
